iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,symmetry,ep_tracking_lin_vel,ep_tracking_ang_vel,ep_lin_vel_z,ep_ang_vel_xy,ep_orientation,ep_base_height,ep_torques,ep_torque_limits,ep_dof_vel,ep_dof_acc,ep_action_rate,ep_dof_pos_limits,ep_alive,ep_hip_pos,ep_contact,ep_feet_swing_height,ep_contact_no_vel,ep_stand_still,ep_termination,ep_length_s,unstable_resets
5660,193.6,7166,2.91,0.52,0.03156,0.00682,-0.0029,5.30348,0.01649,8e-05,0.42756,0.01394,0.36144,0.23263,-0.01373,-0.01286,-0.00494,-0.00405,-0.01958,-0.00245,-0.01782,-0.01171,-0.03069,-0.00849,0.0635,-0.01147,0.12505,-0.00728,-0.00918,-0.00839,-0.05714,8.46714,0
5661,196.9,7326,2.87,0.49,0.03229,0.0048,-0.00486,5.29634,0.01602,2e-05,0.42736,0.01271,0.53897,0.34199,-0.02474,-0.01773,-0.00802,-0.00406,-0.02909,-0.00331,-0.02932,-0.01869,-0.04726,-0.00556,0.09687,-0.01595,0.20268,-0.0102,-0.01461,-0.00445,0.0,12.91583,0
5662,200.1,7725,2.66,0.52,0.0276,0.07405,-0.00608,5.293,0.00779,0.00011,0.42752,0.0153,0.56558,0.36467,-0.02172,-0.01863,-0.00864,-0.00551,-0.03097,-0.00413,-0.03114,-0.02026,-0.05092,-0.00618,0.1018,-0.01537,0.20854,-0.01003,-0.01519,-0.01442,-0.01429,13.57357,0
5663,202.9,8805,2.28,0.51,0.02413,0.01334,-0.01173,5.29895,0.01516,0.00026,0.42792,0.02565,0.61441,0.40378,-0.01893,-0.01984,-0.0088,-0.00461,-0.03196,-0.00334,-0.02939,-0.01961,-0.05226,-0.00688,0.1092,-0.01442,0.23744,-0.01097,-0.01186,0.0,-0.025,14.56,0
5664,206.0,8062,2.56,0.48,0.02791,0.00579,-0.00816,5.29968,0.01601,0.00017,0.42793,0.02023,0.62592,0.40374,-0.01682,-0.01926,-0.00827,-0.00546,-0.0331,-0.00307,-0.03082,-0.01938,-0.05343,-0.00651,0.10999,-0.01349,0.24002,-0.01099,-0.01356,0.0,-0.01429,14.66571,0
5665,209.2,7691,2.72,0.48,0.03057,0.00406,-0.00824,5.29563,0.01679,5e-05,0.42776,0.01643,0.62701,0.39372,-0.01731,-0.01799,-0.00756,-0.00445,-0.03074,-0.00301,-0.0284,-0.01963,-0.0519,-0.00349,0.10925,-0.01447,0.20963,-0.01043,-0.0131,-0.01915,-0.01111,14.56667,0
5666,212.5,7415,2.78,0.53,0.03184,0.01051,-0.00885,5.28915,0.01191,0.00017,0.42768,0.01395,0.69796,0.44423,-0.02229,-0.01858,-0.00764,-0.00429,-0.03367,-0.00335,-0.03282,-0.0241,-0.05972,-0.00371,0.12265,-0.01633,0.18951,-0.00954,-0.01394,-0.05585,0.0,16.35333,0
5667,215.8,7435,2.78,0.53,0.0321,0.00385,-0.00892,5.28697,0.01347,0.00017,0.42762,0.01362,0.53997,0.34884,-0.02677,-0.01557,-0.00788,-0.00545,-0.02798,-0.00379,-0.02762,-0.01783,-0.04699,-0.0057,0.09622,-0.01525,0.1821,-0.00939,-0.01297,-0.01789,0.0,12.83,0
5668,219.1,7294,2.9,0.47,0.03214,0.00521,-0.00683,5.27586,0.01492,0.00011,0.42726,0.01372,0.73197,0.46192,-0.01689,-0.01917,-0.00768,-0.00397,-0.03535,-0.00319,-0.03203,-0.02267,-0.06085,-0.00278,0.12594,-0.01493,0.23707,-0.01106,-0.01284,-0.02852,0.0,16.79182,0
5669,222.5,7299,2.84,0.53,0.03177,0.00604,-0.00705,5.26593,0.01524,0.00011,0.42707,0.01431,0.55048,0.3524,-0.02296,-0.01742,-0.00847,-0.00526,-0.03037,-0.00385,-0.02836,-0.01758,-0.04792,-0.00714,0.09854,-0.01759,0.2117,-0.01135,-0.01424,0.0,-0.03333,13.13889,0
