iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,symmetry,ep_tracking_lin_vel,ep_tracking_ang_vel,ep_lin_vel_z,ep_ang_vel_xy,ep_orientation,ep_base_height,ep_torques,ep_torque_limits,ep_dof_vel,ep_dof_acc,ep_action_rate,ep_dof_pos_limits,ep_alive,ep_hip_pos,ep_contact,ep_feet_swing_height,ep_contact_no_vel,ep_stand_still,ep_termination,ep_length_s,unstable_resets
4849,162.5,7029,3.01,0.48,0.02734,0.00229,-0.00593,6.02345,0.01383,0.00011,0.44403,0.02265,0.38745,0.15124,-0.0114,-0.01152,-0.00434,-0.00253,-0.02199,-0.00209,-0.02073,-0.014,-0.03605,-0.0018,0.07093,-0.00856,0.15424,-0.00811,-0.00843,0.0,0.0,9.458,0
4850,166.1,6861,3.08,0.5,0.02708,0.01315,-0.00686,6.00535,0.01534,0.00011,0.44372,0.02201,0.41822,0.16015,-0.01081,-0.01375,-0.00436,-0.00248,-0.02225,-0.00281,-0.01975,-0.0142,-0.03751,-0.0041,0.07451,-0.00843,0.1608,-0.00906,-0.00755,-0.0062,-0.02667,9.934,0
4851,169.6,6997,3.03,0.48,0.02769,0.0049,-0.00775,6.00394,0.01228,0.00011,0.44373,0.02097,0.54102,0.20703,-0.01741,-0.01594,-0.00585,-0.00336,-0.0301,-0.00347,-0.02687,-0.01879,-0.04993,-0.00212,0.09833,-0.01283,0.21116,-0.01035,-0.01193,-0.02036,0.0,13.11083,0
4852,172.8,7852,2.68,0.45,0.02229,0.02958,-0.01013,5.99785,0.0135,0.00017,0.44348,0.02911,0.69657,0.2572,-0.01598,-0.019,-0.00621,-0.00264,-0.03601,-0.00365,-0.03043,-0.02314,-0.06112,-0.00173,0.12089,-0.01334,0.26245,-0.01249,-0.0119,-0.0299,0.0,16.11889,0
4853,175.9,7937,2.64,0.46,0.02285,0.01848,-0.00717,5.9991,0.01498,0.00011,0.44359,0.03713,0.47954,0.18126,-0.01451,-0.01415,-0.0055,-0.00248,-0.02624,-0.00307,-0.02429,-0.01626,-0.04399,-0.00256,0.08543,-0.01114,0.18408,-0.00919,-0.01154,-0.01232,-0.01273,11.39055,0
4854,179.3,7156,2.93,0.5,0.0251,0.00558,-0.00311,6.00353,0.01673,3e-05,0.44369,0.03052,0.42052,0.16111,-0.01885,-0.01485,-0.00687,-0.00396,-0.0248,-0.00411,-0.02404,-0.01554,-0.04096,-0.0087,0.07812,-0.01422,0.16598,-0.01257,-0.01195,-0.01894,-0.06,10.416,0
4855,182.8,6963,3.03,0.5,0.02635,0.0149,-0.00708,6.0047,0.01159,0.00011,0.44379,0.02471,0.5154,0.19733,-0.02868,-0.0176,-0.00701,-0.00356,-0.02952,-0.00403,-0.02752,-0.01902,-0.04777,-0.00552,0.09403,-0.01298,0.20048,-0.0117,-0.01311,-0.01042,-0.01667,12.5374,0
4856,186.4,6899,3.02,0.54,0.0269,0.01421,-0.00769,6.00916,0.01533,5e-05,0.44398,0.02359,0.35926,0.13843,-0.01248,-0.01127,-0.00436,-0.00343,-0.02117,-0.00317,-0.01933,-0.01258,-0.0327,-0.00451,0.06534,-0.00945,0.14091,-0.00674,-0.00967,-0.00862,-0.01538,8.71179,0
4857,190.0,6830,3.04,0.56,0.02667,0.01046,-0.00707,6.01392,0.01311,0.00011,0.44412,0.02328,0.41122,0.15971,-0.01381,-0.01425,-0.00526,-0.00296,-0.02389,-0.00275,-0.02211,-0.01494,-0.03813,-0.00687,0.07499,-0.01136,0.1611,-0.00823,-0.01053,0.0,-0.04167,9.99833,0
4858,193.5,7062,3.0,0.48,0.02681,0.0052,-0.00616,6.01271,0.01567,8e-05,0.44387,0.02204,0.49463,0.19174,-0.03525,-0.01728,-0.00798,-0.00498,-0.03105,-0.00451,-0.0296,-0.01868,-0.04775,-0.00778,0.09225,-0.01372,0.19755,-0.01903,-0.01528,0.0,-0.03333,12.30044,0
4859,197.0,7038,3.03,0.46,0.0274,0.00262,-0.0081,5.99084,0.01263,0.00026,0.44244,0.01954,0.62635,0.23937,-0.01534,-0.01688,-0.00583,-0.00291,-0.0323,-0.00325,-0.02878,-0.02089,-0.05571,-0.0016,0.10938,-0.01252,0.23966,-0.0119,-0.01143,-0.01871,0.0,14.58417,0
4860,200.5,6940,3.05,0.49,0.0276,0.00139,-0.00748,5.94539,0.01312,0.00011,0.441,0.02052,0.64849,0.24001,-0.02033,-0.01924,-0.0065,-0.00373,-0.0347,-0.00459,-0.03279,-0.02389,-0.05821,-0.00321,0.11504,-0.01639,0.24715,-0.01234,-0.01469,-0.02586,0.0,15.338,0
4861,203.9,7144,2.96,0.48,0.02803,0.00087,-0.00938,5.89332,0.01367,0.00026,0.43842,0.01893,0.62817,0.2363,-0.01697,-0.01861,-0.00655,-0.00343,-0.0336,-0.00406,-0.03013,-0.02131,-0.05566,-0.00224,0.11026,-0.0148,0.23694,-0.01391,-0.01197,0.0,0.0,14.70111,0
4862,207.3,7430,2.83,0.48,0.02355,0.05076,-0.00916,5.83597,0.01527,0.00017,0.43751,0.02342,0.60771,0.23231,-0.02008,-0.01864,-0.00673,-0.0039,-0.03426,-0.00422,-0.0311,-0.02153,-0.05672,-0.00334,0.10987,-0.01557,0.23587,-0.01201,-0.01333,-0.01765,0.0,14.64974,0
4863,210.2,8452,2.47,0.44,0.01974,0.02962,-0.00857,5.83398,0.01415,8e-05,0.43775,0.04044,0.56699,0.21356,-0.01679,-0.01718,-0.00614,-0.00386,-0.03029,-0.0036,-0.0285,-0.01981,-0.05074,-0.00296,0.10083,-0.01272,0.21774,-0.01032,-0.01327,-0.01014,-0.0163,13.44444,0
4864,213.3,7708,2.74,0.45,0.02256,0.01262,-0.00913,5.84168,0.01277,0.00017,0.4381,0.03725,0.60708,0.23362,-0.0206,-0.01892,-0.00732,-0.00348,-0.03317,-0.00442,-0.02995,-0.02212,-0.05538,-0.00647,0.10879,-0.01459,0.23328,-0.0133,-0.0118,-0.02438,-0.06,14.505,0
