iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,symmetry,ep_tracking_lin_vel,ep_tracking_ang_vel,ep_lin_vel_z,ep_ang_vel_xy,ep_orientation,ep_base_height,ep_torques,ep_torque_limits,ep_dof_vel,ep_dof_acc,ep_action_rate,ep_dof_pos_limits,ep_alive,ep_hip_pos,ep_contact,ep_feet_swing_height,ep_contact_no_vel,ep_stand_still,ep_termination,ep_length_s,unstable_resets
4043,191.6,5470,4.04,0.45,0.01983,0.03161,-0.00812,5.52017,0.01207,0.00011,0.42832,0.0,0.51111,0.19866,-0.01933,-0.01521,-0.00694,-0.00268,-0.0268,-0.00353,-0.02302,-0.01806,-0.04552,-0.00705,0.09103,-0.01299,0.19219,-0.00863,-0.01162,-0.05884,-0.08842,12.13732,0
4044,196.1,5522,3.9,0.55,0.02448,0.01414,-0.00659,5.53267,0.01685,2e-05,0.42865,0.0,0.3813,0.15147,-0.01742,-0.01318,-0.00678,-0.00261,-0.02131,-0.00332,-0.01855,-0.01416,-0.0352,-0.00618,0.07059,-0.01238,0.14495,-0.00856,-0.00923,-0.03642,-0.09,9.412,0
4045,200.8,5245,4.18,0.51,0.02592,0.01873,-0.00744,5.53628,0.0103,0.00011,0.42882,0.0,0.62563,0.24322,-0.03212,-0.02017,-0.00878,-0.00292,-0.03327,-0.00511,-0.03095,-0.02256,-0.05527,-0.00668,0.11166,-0.01788,0.23493,-0.01361,-0.01619,-0.0506,-0.03636,14.88818,0
4046,205.1,5703,3.96,0.34,0.02634,0.00598,-0.00726,5.54155,0.01289,0.00011,0.42884,0.0,0.39348,0.15687,-0.01728,-0.01313,-0.00629,-0.00224,-0.02263,-0.00375,-0.01767,-0.01362,-0.03658,-0.00403,0.07265,-0.01127,0.14891,-0.00834,-0.00926,-0.03379,-0.05926,9.68667,0
4047,209.7,5329,4.05,0.56,0.02717,0.00372,-0.00878,5.53231,0.01516,0.00017,0.42819,0.0,0.6481,0.2537,-0.024,-0.0174,-0.00663,-0.00211,-0.03352,-0.00437,-0.03018,-0.02302,-0.05786,-0.00374,0.11514,-0.01536,0.24144,-0.00854,-0.01616,-0.09448,-0.01667,15.35167,0
4048,214.1,5624,4.02,0.35,0.02724,0.00519,-0.00562,5.51584,0.01409,0.00011,0.42771,0.0,0.64922,0.25693,-0.02199,-0.01959,-0.00747,-0.00174,-0.03411,-0.00438,-0.03164,-0.02436,-0.05882,-0.00154,0.11766,-0.01697,0.24789,-0.01116,-0.01457,-0.06035,0.0,15.68833,0
4049,218.8,5184,4.24,0.5,0.02688,0.00633,-0.00695,5.50157,0.01468,0.00026,0.42713,0.0,0.65191,0.25354,-0.01977,-0.01889,-0.00662,-0.0014,-0.03374,-0.00462,-0.02869,-0.02287,-0.05652,-0.00141,0.11357,-0.01767,0.23968,-0.01296,-0.01299,-0.03722,-0.02857,15.14286,0
4050,223.5,5247,4.1,0.58,0.02695,0.01218,-0.00088,5.49469,0.02284,1e-05,0.42709,0.0,0.45678,0.17923,-0.0178,-0.01568,-0.0061,-0.00223,-0.02555,-0.00368,-0.02474,-0.01723,-0.04102,-0.0034,0.08317,-0.01342,0.17614,-0.00877,-0.01442,-0.02844,-0.00556,11.08917,0
4051,228.1,5285,4.15,0.5,0.02696,0.00403,-0.0073,5.49346,0.00959,0.00011,0.4269,0.0,0.43516,0.17062,-0.01691,-0.01445,-0.00585,-0.002,-0.02475,-0.00367,-0.02193,-0.01533,-0.0389,-0.0068,0.07832,-0.01417,0.16453,-0.0085,-0.01108,-0.02619,-0.03077,10.44308,0
4052,232.1,6174,3.5,0.48,0.02206,0.05066,-0.01069,5.48876,0.01604,5e-05,0.42689,0.0,0.6329,0.24556,-0.01734,-0.01811,-0.00618,-0.00145,-0.03274,-0.00394,-0.02818,-0.02081,-0.05576,-0.00237,0.1106,-0.01524,0.23364,-0.01259,-0.01279,-0.03387,-0.01667,14.74667,0
