iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,ep_tracking_lin_vel,ep_tracking_ang_vel,ep_lin_vel_z,ep_ang_vel_xy,ep_orientation,ep_base_height,ep_torques,ep_torque_limits,ep_dof_vel,ep_dof_acc,ep_action_rate,ep_dof_pos_limits,ep_alive,ep_hip_pos,ep_contact,ep_feet_swing_height,ep_contact_no_vel,ep_stand_still,ep_termination,ep_length_s,unstable_resets
3053,195.9,7914,2.69,0.42,0.02375,0.05353,-0.01031,-2.00311,0.01347,8e-05,0.23663,0.3579,0.18674,-0.0177,-0.01044,-0.00796,-0.00231,-0.01317,-0.00133,-0.01121,-0.0059,-0.01178,-0.00357,0.06873,-0.0123,0.14675,-0.01147,-0.00761,-0.01657,-0.11042,9.16417,0
3054,199.2,7339,2.93,0.42,0.02624,0.04398,-0.01008,-1.99073,0.01466,8e-05,0.23691,0.51309,0.26435,-0.01302,-0.01156,-0.00779,-0.0018,-0.01725,-0.00134,-0.01455,-0.00771,-0.01614,-0.00124,0.09559,-0.01241,0.20551,-0.0167,-0.00858,-0.04977,-0.06833,12.74517,0
3055,202.5,7401,2.92,0.4,0.02711,0.05345,-0.00923,-1.97692,0.0148,8e-05,0.23714,0.43852,0.23426,-0.02311,-0.01189,-0.00854,-0.00233,-0.01657,-0.00165,-0.01428,-0.00738,-0.01478,-0.00289,0.08571,-0.01441,0.18208,-0.01505,-0.00861,-0.03765,-0.06833,11.42783,0
3056,205.8,7464,2.91,0.39,0.02737,0.02684,-0.00952,-1.96499,0.01389,8e-05,0.23739,0.52507,0.26763,-0.01621,-0.01255,-0.0069,-0.00194,-0.01725,-0.00116,-0.01464,-0.00799,-0.01625,-0.00366,0.09602,-0.01363,0.20665,-0.01587,-0.0083,-0.0404,-0.06127,12.80292,0
3057,209.1,7563,2.85,0.4,0.02885,0.04791,-0.00773,-1.95437,0.01712,2e-05,0.23751,0.46389,0.24478,-0.02207,-0.01239,-0.00905,-0.00209,-0.01755,-0.00161,-0.01527,-0.00805,-0.01594,-0.00168,0.0918,-0.01448,0.19603,-0.01473,-0.00874,-0.02513,-0.06111,12.23944,0
3058,212.4,7404,2.89,0.43,0.02904,0.03176,-0.00798,-1.94857,0.01271,8e-05,0.23768,0.5165,0.27307,-0.01961,-0.01322,-0.00689,-0.00193,-0.01889,-0.00149,-0.01697,-0.00854,-0.01721,-0.00793,0.09943,-0.01433,0.21438,-0.01549,-0.00955,-0.04937,-0.03725,13.25706,0
3059,215.7,7409,2.93,0.39,0.0295,0.03327,-0.0088,-1.93651,0.01513,3e-05,0.23791,0.47657,0.25396,-0.01319,-0.0116,-0.00678,-0.00128,-0.01734,-0.00092,-0.01566,-0.00788,-0.01568,-0.00182,0.09291,-0.01251,0.19979,-0.01332,-0.00944,0.0,-0.02424,12.38788,0
3060,219.0,7402,2.93,0.39,0.02952,0.02725,-0.00822,-1.92667,0.01259,5e-05,0.23813,0.45604,0.23108,-0.01169,-0.01077,-0.00647,-0.00177,-0.01563,-0.00096,-0.01401,-0.00712,-0.01461,-0.00081,0.08402,-0.01135,0.18079,-0.01262,-0.00939,-0.00988,-0.05128,11.20333,0
3061,222.3,7459,2.93,0.37,0.02952,0.01963,-0.00924,-1.91226,0.01516,8e-05,0.23845,0.46028,0.23883,-0.01813,-0.01188,-0.00836,-0.00204,-0.01706,-0.00151,-0.0152,-0.00755,-0.01538,-0.00316,0.08754,-0.01184,0.1881,-0.0129,-0.00896,-0.03946,-0.08,11.672,0
3062,225.6,7420,2.86,0.45,0.02606,0.28239,-0.00964,-1.8967,0.01401,0.00011,0.23877,0.46834,0.23243,-0.01739,-0.01187,-0.00789,-0.00258,-0.01701,-0.00131,-0.01686,-0.00797,-0.01568,-0.00152,0.08763,-0.01477,0.18951,-0.01185,-0.01096,0.0,-0.06667,11.68364,0
3063,228.6,8309,2.57,0.39,0.02362,0.1037,-0.00868,-1.88416,0.0147,2e-05,0.2389,0.55081,0.27927,-0.01274,-0.01294,-0.00728,-0.00146,-0.01765,-0.00099,-0.01599,-0.00828,-0.01722,-0.00163,0.10026,-0.01383,0.21803,-0.01607,-0.00878,-0.02454,-0.03077,13.36805,0
3064,231.9,7502,2.87,0.41,0.02401,0.06807,-0.00918,-1.87804,0.01418,5e-05,0.23906,0.55408,0.2898,-0.01471,-0.01341,-0.00939,-0.00229,-0.01879,-0.00134,-0.01572,-0.00842,-0.01776,-0.00202,0.10373,-0.01515,0.22407,-0.01767,-0.00921,-0.02129,-0.09158,13.83096,0
3065,235.2,7413,2.88,0.44,0.02636,0.03413,-0.00998,-1.86753,0.01528,2e-05,0.23923,0.48037,0.24788,-0.01905,-0.01264,-0.00819,-0.00254,-0.01694,-0.00168,-0.01532,-0.00788,-0.01604,-0.00456,0.09049,-0.01348,0.19351,-0.01487,-0.01035,-0.02315,-0.09524,12.06508,0
3066,238.4,7586,2.84,0.4,0.02831,0.03637,-0.00901,-1.8582,0.01244,8e-05,0.23947,0.60567,0.30419,-0.01771,-0.01481,-0.0084,-0.00204,-0.02068,-0.00157,-0.01892,-0.00948,-0.01934,-0.00298,0.11085,-0.01467,0.24038,-0.0175,-0.01264,-0.04461,-0.0549,14.78039,0
3067,241.8,7368,2.88,0.46,0.02908,0.01765,-0.00766,-1.84443,0.01303,5e-05,0.23964,0.55659,0.28231,-0.01644,-0.01273,-0.00778,-0.00156,-0.01958,-0.00136,-0.0166,-0.00861,-0.01789,-0.00178,0.10301,-0.01464,0.22161,-0.01683,-0.00954,-0.01128,-0.03889,13.73444,0
3068,245.1,7412,2.91,0.41,0.02948,0.01938,-0.00923,-1.83768,0.01398,0.00011,0.23984,0.47204,0.24019,-0.01291,-0.01188,-0.00679,-0.00162,-0.01678,-0.00123,-0.01481,-0.00751,-0.01569,-0.0018,0.08825,-0.01274,0.18947,-0.01287,-0.00972,-0.01018,-0.04872,11.76641,0
3069,248.4,7359,2.94,0.4,0.02973,0.03884,-0.00794,-1.82678,0.01537,3e-05,0.23999,0.566,0.30773,-0.01572,-0.01555,-0.00954,-0.00177,-0.02066,-0.0013,-0.01725,-0.00943,-0.01921,-0.00402,0.1106,-0.01583,0.24077,-0.01757,-0.009,-0.01498,-0.03636,14.74727,0
3070,251.8,7192,3.01,0.4,0.02963,0.03665,-0.00906,-1.81633,0.01359,8e-05,0.24025,0.55867,0.28075,-0.01716,-0.01373,-0.00764,-0.0016,-0.01991,-0.00129,-0.01863,-0.00906,-0.01826,-0.00179,0.10243,-0.01542,0.22365,-0.01424,-0.01122,-0.0079,-0.03333,13.65722,0
3071,255.1,7436,2.92,0.39,0.02923,0.02069,-0.00888,-1.8037,0.01433,5e-05,0.24042,0.45557,0.23414,-0.01756,-0.01311,-0.00761,-0.00234,-0.01798,-0.00161,-0.01681,-0.00811,-0.01583,-0.00524,0.0885,-0.01663,0.18883,-0.01252,-0.01153,-0.01229,-0.06923,11.8,0
3072,258.5,7228,2.92,0.48,0.02899,0.18048,-0.00817,-1.79416,0.01409,0.00011,0.24064,0.45649,0.23781,-0.01785,-0.0118,-0.00797,-0.00197,-0.01761,-0.0016,-0.01674,-0.00799,-0.01587,-0.00181,0.08854,-0.01415,0.18914,-0.01307,-0.01075,-0.00548,-0.05556,11.80556,0
3073,261.5,8378,2.53,0.4,0.02438,0.06958,-0.00609,-1.78464,0.01588,2e-05,0.24072,0.57424,0.28896,-0.01227,-0.01159,-0.00591,-0.00101,-0.01813,-0.00064,-0.01512,-0.00817,-0.01755,-0.00065,0.10209,-0.01075,0.22355,-0.01728,-0.00799,-0.02652,-0.01667,13.61167,0
3074,264.7,7584,2.81,0.43,0.02353,0.06559,-0.00846,-1.77988,0.01677,1e-05,0.24084,0.52887,0.27799,-0.02284,-0.0148,-0.01,-0.00259,-0.01972,-0.00137,-0.01829,-0.00933,-0.01856,-0.00224,0.10297,-0.01528,0.22021,-0.01563,-0.01141,-0.03355,-0.10833,13.7299,0
3075,268.2,7147,2.96,0.47,0.02721,0.03469,-0.00778,-1.7749,0.0104,5e-05,0.24095,0.56594,0.28439,-0.02154,-0.01306,-0.00805,-0.00199,-0.01952,-0.00207,-0.01594,-0.00897,-0.01824,-0.00365,0.1036,-0.01457,0.22186,-0.01912,-0.00991,-0.0638,-0.05111,13.81278,0
