iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,symmetry,ep_tracking_lin_vel,ep_tracking_ang_vel,ep_lin_vel_z,ep_ang_vel_xy,ep_orientation,ep_base_height,ep_torques,ep_torque_limits,ep_dof_vel,ep_dof_acc,ep_action_rate,ep_dof_pos_limits,ep_alive,ep_hip_pos,ep_contact,ep_feet_swing_height,ep_contact_no_vel,ep_stand_still,ep_termination,ep_length_s,unstable_resets
4058,204.3,7220,2.96,0.45,0.02705,0.00659,-0.00833,4.91154,0.01499,0.00011,0.40595,0.0133,0.67616,0.26161,-0.02345,-0.02415,-0.00968,-0.00212,-0.03558,-0.00458,-0.03234,-0.02229,-0.05241,-0.0035,0.12223,-0.01738,0.26009,-0.01672,-0.01745,0.0,-0.01538,16.29692,0
4059,207.8,7188,2.94,0.48,0.02677,0.00994,-0.00666,4.89397,0.01401,5e-05,0.40541,0.01344,0.38036,0.1452,-0.01709,-0.01329,-0.00713,-0.00223,-0.02034,-0.00269,-0.01927,-0.0122,-0.02946,-0.00393,0.06912,-0.01099,0.14657,-0.00876,-0.01071,0.0,-0.03333,9.21556,0
4060,211.3,6950,3.01,0.52,0.02706,0.0163,-0.00715,4.88326,0.01237,0.00017,0.40502,0.01293,0.49383,0.19239,-0.0184,-0.01636,-0.00682,-0.00184,-0.02596,-0.00332,-0.02318,-0.01579,-0.03761,-0.00462,0.08914,-0.01395,0.18788,-0.01329,-0.01138,-0.01018,-0.02308,11.88538,0
4061,214.7,7118,2.98,0.47,0.02736,0.00447,-0.00651,4.87312,0.01719,3e-05,0.40476,0.01303,0.4847,0.19168,-0.01566,-0.01585,-0.0065,-0.00198,-0.02647,-0.00319,-0.02208,-0.01407,-0.03627,-0.00516,0.08531,-0.01047,0.18386,-0.00995,-0.01205,0.0,-0.02857,11.37429,0
4062,218.1,7296,2.88,0.49,0.0232,0.13968,-0.00719,4.86501,0.0121,0.00017,0.40453,0.01432,0.52821,0.20848,-0.02026,-0.01805,-0.00864,-0.00218,-0.02886,-0.00369,-0.0253,-0.01629,-0.0407,-0.00267,0.09607,-0.01533,0.20141,-0.01394,-0.01523,-0.01727,-0.02292,12.80979,0
4063,221.1,8267,2.46,0.51,0.01938,0.07719,-0.00935,4.86304,0.014,0.00011,0.40458,0.02343,0.72444,0.28604,-0.02254,-0.02231,-0.00888,-0.00207,-0.03548,-0.00402,-0.03016,-0.02194,-0.05331,-0.00266,0.12742,-0.01604,0.26599,-0.02146,-0.01378,-0.06498,-0.0119,16.99,0
4064,224.3,7598,2.76,0.48,0.01984,0.0482,-0.0109,4.86569,0.01566,5e-05,0.40463,0.02229,0.55204,0.21953,-0.02153,-0.01934,-0.00908,-0.00244,-0.02773,-0.00318,-0.02363,-0.01699,-0.04167,-0.00324,0.09936,-0.01545,0.20521,-0.01592,-0.01138,-0.04737,-0.07778,13.24796,0
4065,227.7,7269,2.88,0.5,0.02208,0.02712,-0.00628,4.86686,0.01732,1e-05,0.4046,0.01873,0.4903,0.19805,-0.03498,-0.02065,-0.01116,-0.00384,-0.02822,-0.00428,-0.02599,-0.01614,-0.03924,-0.00879,0.09254,-0.01821,0.19147,-0.01519,-0.01588,-0.01519,-0.11111,12.33907,0
4066,231.1,7221,2.89,0.51,0.02509,0.01968,-0.00742,4.8663,0.01189,0.00011,0.40452,0.01437,0.45876,0.18276,-0.01977,-0.01654,-0.00754,-0.00222,-0.02377,-0.00282,-0.02143,-0.01426,-0.03468,-0.00547,0.08308,-0.0123,0.17428,-0.01216,-0.01282,-0.01084,-0.07059,11.07765,0
4067,234.5,7231,2.87,0.53,0.02677,0.01932,-0.00722,4.86462,0.01374,5e-05,0.40447,0.01432,0.60436,0.23817,-0.01814,-0.01838,-0.00728,-0.00121,-0.02914,-0.00305,-0.0253,-0.0184,-0.04447,-0.001,0.10676,-0.0147,0.22332,-0.01631,-0.01183,-0.02403,-0.01429,14.23429,0
4068,237.9,7187,2.96,0.46,0.02616,0.01356,-0.00849,4.86297,0.01395,0.00017,0.40433,0.01419,0.48753,0.19595,-0.02481,-0.01862,-0.00932,-0.00214,-0.02647,-0.00353,-0.02359,-0.01615,-0.03764,-0.00567,0.09019,-0.01518,0.18834,-0.01374,-0.01132,-0.02325,-0.05667,12.02567,0
4069,241.5,6848,2.97,0.62,0.02571,0.00965,-0.00731,4.85682,0.01446,8e-05,0.40405,0.01433,0.58114,0.22958,-0.03386,-0.022,-0.01079,-0.00301,-0.0309,-0.00435,-0.02793,-0.01862,-0.04458,-0.00758,0.10644,-0.01764,0.22164,-0.01856,-0.01556,-0.02092,-0.07444,14.192,0
4070,245.0,6984,2.98,0.54,0.02716,0.0057,-0.00899,4.83903,0.01544,0.00011,0.40314,0.01228,0.5916,0.2382,-0.02496,-0.02026,-0.01008,-0.00203,-0.03116,-0.00358,-0.02728,-0.0176,-0.04466,-0.00406,0.10758,-0.01685,0.22579,-0.0149,-0.01451,-0.02825,-0.01667,14.34352,0
4071,248.5,7091,2.95,0.52,0.02732,0.01671,-0.00743,4.81839,0.01401,0.00017,0.40276,0.01228,0.56717,0.2272,-0.01875,-0.01826,-0.00847,-0.00182,-0.02981,-0.00373,-0.02686,-0.01747,-0.04316,-0.00196,0.10324,-0.01613,0.21666,-0.01492,-0.01421,0.0,-0.00556,13.76583,0
4072,251.9,7192,2.95,0.47,0.02691,0.07203,-0.00932,4.8104,0.01398,0.00017,0.40281,0.01257,0.48137,0.19168,-0.02535,-0.01913,-0.0096,-0.00208,-0.02685,-0.00364,-0.02525,-0.01607,-0.03771,-0.00289,0.09104,-0.01589,0.19316,-0.01345,-0.01419,-0.01214,-0.02,12.139,0
4073,255.0,7927,2.58,0.52,0.02141,0.03813,-0.00886,4.81555,0.01289,0.00011,0.40295,0.01823,0.57743,0.22518,-0.02063,-0.01944,-0.00831,-0.00179,-0.02845,-0.00314,-0.02397,-0.01781,-0.04205,-0.00342,0.10356,-0.01655,0.2161,-0.01592,-0.01062,-0.02335,-0.03636,13.80818,0
