iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,unstable_resets
207,322.2,16582,1.22,0.26,0.0181,0.0008,-0.00941,5.97188,0.01519,0.00038,0.41772,0
208,323.7,17134,1.18,0.25,0.01618,0.44544,-0.00551,5.92739,0.01468,0.00026,0.41753,0
209,325.0,17867,1.13,0.24,0.01566,0.04877,-0.00979,5.94582,0.01658,0.00026,0.41831,0
210,326.5,16941,1.19,0.26,-0.00327,0.02656,-0.00849,5.96465,0.01611,5e-05,0.41867,0
211,328.0,16473,1.23,0.26,0.00519,0.01436,-0.00864,5.97102,0.01275,8e-05,0.41891,0
212,329.7,13987,1.47,0.29,0.01426,0.00563,-0.00571,5.97747,0.01575,2e-05,0.41917,0
213,331.6,12920,1.54,0.37,0.0156,0.00341,-0.00681,5.9797,0.01025,0.00017,0.41927,0
214,333.7,11983,1.71,0.34,0.01734,0.00169,-0.00749,5.97015,0.01373,8e-05,0.41886,0
215,335.6,13083,1.58,0.3,0.01743,0.00117,-0.01046,5.94696,0.01093,0.00026,0.41768,0
216,337.3,14296,1.43,0.29,0.01803,0.00094,-0.00964,5.89725,0.01356,0.00026,0.41615,0
217,339.0,14652,1.37,0.3,0.01823,0.00082,-0.00862,5.83973,0.01573,0.00038,0.4142,0
218,340.5,16493,1.21,0.28,0.01729,0.55672,0.00292,5.79808,0.01461,0.00011,0.41388,0
219,341.8,18098,1.06,0.3,0.01644,0.06743,-0.01023,5.80283,0.01425,8e-05,0.41423,0
220,343.3,16629,1.18,0.29,0.00607,0.02711,-0.00882,5.81446,0.01408,0.00017,0.41485,0
221,344.8,16214,1.24,0.28,-0.00243,0.01771,-0.0082,5.82598,0.01418,8e-05,0.41512,0
222,346.4,15476,1.31,0.28,0.01157,0.00926,-0.00625,5.83083,0.01749,1e-05,0.41529,0
223,348.0,15491,1.31,0.28,0.01589,0.00499,-0.00603,5.83159,0.00861,0.00011,0.41526,0
224,349.7,14647,1.38,0.29,0.01727,0.00361,-0.00622,5.82508,0.01283,0.00017,0.41505,0
225,351.4,14423,1.38,0.32,0.01758,0.00144,-0.00955,5.80708,0.01312,0.00026,0.41407,0
226,353.0,14921,1.34,0.31,0.01811,0.0017,-0.00697,5.7737,0.01288,0.00017,0.41317,0
227,354.7,14468,1.39,0.31,0.01822,0.00092,-0.01055,5.73177,0.01511,0.00026,0.41151,0
228,356.5,13928,1.47,0.3,0.01826,0.00088,-0.00932,5.68495,0.01227,0.00026,0.40997,0
229,358.2,14435,1.39,0.31,0.01607,0.41608,-0.00817,5.64689,0.01411,0.00017,0.40948,0
230,359.8,15691,1.27,0.3,0.01259,0.0344,-0.00978,5.65286,0.01559,0.00011,0.40989,0
231,361.4,15327,1.29,0.31,-0.00999,0.01992,-0.01093,5.66126,0.01574,5e-05,0.41018,0
232,363.0,15040,1.32,0.31,0.00902,0.00977,-0.00852,5.66705,0.01351,8e-05,0.41039,0
233,364.6,15652,1.29,0.28,0.01693,0.00491,-0.00849,5.66904,0.01319,8e-05,0.41039,0
234,366.3,14194,1.41,0.32,0.01758,0.00331,-0.00736,5.6659,0.01224,0.00011,0.41025,0
235,367.8,16603,1.17,0.31,0.0174,0.00224,-0.00677,5.66096,0.01245,0.00017,0.41001,0
236,369.4,15474,1.29,0.3,0.01869,0.00104,-0.00846,5.63694,0.01315,0.00038,0.40881,0
237,371.0,14884,1.34,0.32,0.01831,0.001,-0.01038,5.58933,0.01295,0.00026,0.40733,0
238,372.8,13494,1.5,0.32,0.01879,0.00073,-0.00994,5.53585,0.01242,0.00026,0.4057,0
239,374.5,14388,1.4,0.31,0.01759,0.47049,-0.00515,5.49424,0.01443,0.00038,0.40535,0
240,376.3,14255,1.4,0.32,0.01706,0.08695,-0.00886,5.50448,0.01716,5e-05,0.40577,0
241,377.9,15064,1.32,0.31,-0.00064,0.03929,-0.00945,5.5122,0.0142,0.00011,0.40618,0
242,379.5,15225,1.32,0.3,-0.00095,0.02395,-0.00948,5.52604,0.01407,5e-05,0.40652,0
243,381.0,16633,1.18,0.3,0.01298,0.01566,-0.00806,5.53355,0.01436,3e-05,0.40684,0
244,382.6,15566,1.29,0.29,0.01601,0.00619,-0.0078,5.53735,0.01069,0.00017,0.40686,0
245,384.1,16229,1.21,0.3,0.01646,0.00379,-0.00571,5.53352,0.01609,3e-05,0.40675,0
246,385.7,15082,1.34,0.29,0.01787,0.00182,-0.00754,5.52774,0.01106,0.00017,0.4064,0
247,387.2,16015,1.23,0.31,0.01846,0.00107,-0.00901,5.50043,0.01501,0.00026,0.40527,0
248,388.8,16021,1.23,0.3,0.01868,0.0012,-0.00802,5.45741,0.01514,0.00038,0.40396,0
