iteration,time_s,fps,collect_s,update_s,reward_per_step,value_loss,surrogate,entropy,kl,lr,std,ep_tracking_lin_vel,ep_tracking_ang_vel,ep_lin_vel_z,ep_ang_vel_xy,ep_orientation,ep_base_height,ep_torques,ep_torque_limits,ep_dof_vel,ep_dof_acc,ep_action_rate,ep_dof_pos_limits,ep_alive,ep_hip_pos,ep_contact,ep_feet_swing_height,ep_contact_no_vel,ep_stand_still,ep_termination,ep_length_s,unstable_resets
1542,81.4,14474,1.35,0.34,0.02771,0.02296,-0.00607,-0.81088,0.01168,2e-05,0.27038,,,,,,,,,,,,,,,,,,,,,0
1543,83.1,14484,1.34,0.35,0.03028,0.00899,-0.00567,-0.80483,0.01147,8e-05,0.27056,0.4056,0.1876,-0.00663,-0.01209,-0.011,-0.00281,-0.01121,-0.00018,-0.00966,-0.00659,-0.01311,-0.00085,0.06967,-0.01203,0.1431,-0.01409,-0.00495,0.0,-0.2,9.29,0
1544,84.8,14112,1.39,0.36,0.03045,0.00203,-0.00807,-0.79655,0.01513,8e-05,0.27067,0.5778,0.27399,-0.02184,-0.01607,-0.0101,-0.00295,-0.0194,-0.0023,-0.02164,-0.01133,-0.02121,-0.00143,0.10372,-0.01537,0.22041,-0.01338,-0.01559,-0.01509,-0.13333,13.83,0
1545,86.6,13809,1.43,0.35,0.03084,0.00207,-0.00338,-0.79461,0.01351,5e-05,0.2707,0.70863,0.3348,-0.01397,-0.01395,-0.00975,-0.00188,-0.02045,-0.00112,-0.01884,-0.01129,-0.02337,-0.00071,0.12141,-0.01401,0.25259,-0.02117,-0.01109,-0.04041,-0.075,16.1875,0
1546,88.4,13183,1.47,0.39,0.03142,0.00052,-0.00545,-0.79566,0.01037,5e-05,0.27064,0.36035,0.17878,-0.03909,-0.01192,-0.01473,-0.00448,-0.01458,-0.00155,-0.01399,-0.00858,-0.01438,-0.00444,0.07085,-0.01585,0.14256,-0.01208,-0.00892,-0.02808,-0.2,9.44667,0
1547,90.3,13421,1.45,0.38,0.03222,0.00038,-0.0096,-0.80593,0.0102,0.00011,0.2702,0.90264,0.40828,-0.01208,-0.01841,-0.00647,-0.00164,-0.0238,-0.00115,-0.02207,-0.01361,-0.02807,-0.00064,0.15,-0.02988,0.31842,-0.02959,-0.0087,0.0,0.0,20.0,0
1548,91.9,14675,1.33,0.35,0.03219,0.00044,-0.00834,-0.83278,0.01613,0.00011,0.26948,,,,,,,,,,,,,,,,,,,,,0
1549,93.6,14478,1.34,0.35,0.03182,0.00042,-0.00813,-0.85533,0.01283,0.00011,0.26921,0.86709,0.40108,-0.02087,-0.01988,-0.0095,-0.00092,-0.02824,-0.00286,-0.03133,-0.01494,-0.0312,-0.00055,0.15,-0.02535,0.32634,-0.0134,-0.02637,0.0,0.0,20.0,0
1550,95.4,13957,1.38,0.38,0.03187,0.00045,-0.00722,-0.87341,0.01421,0.00017,0.26869,,,,,,,,,,,,,,,,,,,,,0
1551,97.2,13556,1.45,0.36,0.03239,0.00036,-0.00497,-0.8951,0.01401,0.00011,0.26826,0.90643,0.40415,-0.02103,-0.01838,-0.0085,-0.00073,-0.0266,-0.00129,-0.0276,-0.01512,-0.02998,-0.00063,0.15,-0.01735,0.3177,-0.01474,-0.02253,0.0,0.0,20.0,0
1552,99.0,13905,1.41,0.36,0.02678,0.07526,-0.00816,-0.90326,0.01433,5e-05,0.26827,,,,,,,,,,,,,,,,,,,,,0
1553,100.9,13018,1.52,0.36,0.02849,0.0319,-0.00978,-0.89583,0.01423,3e-05,0.26843,0.88332,0.40207,-0.02229,-0.01912,-0.00971,-0.00181,-0.02644,-0.002,-0.02656,-0.01458,-0.02903,-0.00136,0.14814,-0.02383,0.31554,-0.02079,-0.01676,-0.02034,-0.025,19.7525,0
1554,102.7,13816,1.42,0.35,0.02826,0.00683,-0.00806,-0.88738,0.01352,8e-05,0.26865,0.59404,0.27714,-0.01883,-0.01469,-0.01045,-0.00319,-0.01817,-0.00172,-0.01808,-0.01047,-0.02007,-0.00185,0.1034,-0.01704,0.21826,-0.01608,-0.01141,-0.03455,-0.11538,13.78615,0
1555,104.4,13829,1.42,0.35,0.02824,0.0026,-0.00531,-0.87652,0.01449,8e-05,0.26876,0.54356,0.25694,-0.0175,-0.01372,-0.01077,-0.00268,-0.01689,-0.00184,-0.01626,-0.00951,-0.01838,-0.00225,0.09534,-0.01618,0.19947,-0.01608,-0.00944,-0.04839,-0.11863,12.71176,0
1556,106.2,14279,1.36,0.36,0.03188,0.00083,-0.00546,-0.87418,0.01315,0.00011,0.26868,0.75645,0.36048,-0.01996,-0.01851,-0.0113,-0.00207,-0.02312,-0.00122,-0.02379,-0.01347,-0.02609,-0.00201,0.13413,-0.01867,0.28782,-0.02112,-0.01249,-0.02912,-0.03333,17.88333,0
